type,lat,lon
stop,49.0088509,17.2660014
stop,50.2604733,17.398094
stop,49.0513664,13.5714161
stop,49.7621141,18.6111908
stop,49.8389722,18.2876823
stop,49.4511291,17.4482269
stop,49.4629928,17.4863276
stop,49.840509,18.5011592
stop,48.9045398,17.505323
stop,49.0808247,17.4411861
stop,48.9726341,17.2675697
stop,48.9121,17.496652
stop,49.4502605,17.4450702
stop,49.2736107,18.0000427
stop,49.6060408,15.5276297
stop,49.6040599,15.5475949
stop,49.66869,14.82343
stop,48.5889096,13.4634404
stop,48.5943147,13.4628572
stop,50.84398,13.9454996
stop,50.4887867,13.2813034
stop,49.7155575,12.968765
stop,49.444783,12.9172885
stop,48.5527725,16.7831589
stop,50.9810007,13.3635029
stop,49.0172103,12.1005447
stop,50.1096313,14.0683066
stop,49.1269315,12.1295013
stop,49.1241695,12.1276536
stop,49.0395569,13.3038417
stop,48.6333081,13.4049586
stop,50.9151869,13.0583126
stop,50.5788996,12.8091806
stop,50.5971339,12.6778686
stop,50.0013928,14.6634072
stop,50.0016919,14.6625753
stop,49.6924782,17.0740071
stop,50.9991963,13.7988158
stop,51.0419203,13.7506676
stop,50.706751,12.7371642
stop,50.748826,12.718211
stop,49.2119373,16.5683965
stop,50.7226121,12.6990085
stop,48.9330794,13.5770926
stop,51.0439449,13.7247218
stop,50.1051449,14.3731043
stop,50.1105777,14.3780677
stop,50.1103236,14.3782379
stop,50.1070113,14.3886003
stop,50.1068214,14.3887663
stop,50.1077064,14.3744757
stop,50.10695,14.39529
stop,50.1077242,14.402159
stop,50.1078342,14.4016293
stop,50.1047739,14.406079
stop,50.0981542,14.4051263
stop,50.0984933,14.3688739
stop,51.0487798,13.7204145
stop,50.0513048,14.4945383
stop,48.6634853,13.6653799
stop,49.99694,14.65903
stop,50.6746326,12.8061492
stop,51.027895,13.7455905
stop,49.0598584,12.0900521
stop,50.7028489,12.49056
stop,49.3479132,12.3719605
stop,50.635845,12.8153302
stop,49.2931298,15.8189539
stop,49.2852746,15.8064938
stop,51.0381511,13.7462064
stop,50.6508057,12.5209781
stop,50.8081179,13.8870111
stop,50.7285261,12.4996056
stop,50.7190962,12.7895643
stop,49.2508509,16.5819683
stop,49.6221803,16.1029733
stop,50.7204654,12.4970527
stop,50.7179723,12.4976581
stop,49.9207656,14.4194546
stop,50.0207398,14.4449048
stop,50.8492514,12.4177027
stop,50.01988,14.45195
stop,49.7375189,13.3705868
stop,50.8479076,12.4609658
stop,50.1032596,14.4646664
stop,49.9423762,14.4314944
stop,49.6687071,16.7686024
stop,50.6479364,12.8291566
stop,50.8260042,12.3943461
stop,51.0457436,13.6637101
stop,50.5760061,13.0088225
stop,50.5652347,13.0111978
stop,50.565173,13.0110932
stop,50.8564227,12.7646612
stop,50.1419229,14.5153618
stop,50.1345474,14.5060449
stop,50.1303041,14.5086535
stop,50.1284181,14.511729
stop,50.1236114,14.5086415
stop,50.1213243,14.5042127
stop,50.1463296,14.5058973
stop,50.7583732,13.7440325
stop,50.7584444,13.7436358
stop,50.0282729,14.5980087
stop,50.6159502,12.7268373
stop,50.6210891,12.7348071
stop,50.62411,12.7373346
stop,50.6145028,12.7239823
stop,50.595619,12.706929
stop,50.5956345,12.7073021
stop,50.5844316,12.704712
stop,50.7307504,12.7495662
stop,50.4966017,12.5903626
stop,50.4976441,12.5862282
stop,49.0464671,12.1026901
stop,49.0476362,12.1120718
stop,50.4211373,12.7243537
stop,49.7414323,13.3716023
stop,50.1065887,14.4881511
stop,50.1088752,14.4947373
stop,49.9018533,14.4110216
stop,49.9081139,14.4130389
stop,49.9150776,14.4146845
stop,50.0312051,14.455159
stop,50.0172779,14.4493256
stop,49.6126174,17.2254431
stop,50.550485,14.5434652
stop,50.8934286,14.1028458
stop,50.0447095,14.4476743
stop,49.4260737,14.6774223
stop,49.4091918,14.6574307
stop,49.4055973,14.714528
stop,50.1543544,14.1896382
stop,50.9089248,13.7002375
stop,50.1093174,14.5281051
stop,50.1047797,14.5307738
stop,49.2296162,16.5956444
stop,49.8974754,14.4845762
stop,49.9234206,14.4806036
stop,49.9359799,14.4640734
stop,50.1043705,14.4818508
stop,50.1034659,14.4887162
stop,50.1019338,14.5026084
stop,50.1029774,14.5142605
stop,50.1034855,14.5193246
stop,50.1065386,14.5434249
stop,50.1165073,14.4677563
stop,50.1192182,14.4638118
stop,50.1258477,14.4594956
stop,50.1280497,14.477742
stop,49.4152319,14.6601558
stop,49.1876665,16.6659848
stop,50.9034431,12.361029
stop,50.1259882,14.5168284
stop,50.053395,14.330138
stop,50.0500449,14.3216925
stop,49.7078901,16.9765598
stop,49.9816876,14.7294225
stop,50.7038653,12.4977882
stop,50.7223616,12.4941731
stop,50.7219655,12.4951478
stop,51.021138,15.6472344
stop,50.0061278,14.6540082
stop,49.9934228,14.6674119
stop,49.9921362,14.664766
stop,50.0394479,14.8795811
stop,50.5555537,12.6791164
stop,50.5832011,12.6995373
stop,49.1727834,15.0281825
stop,50.9621884,13.4241658
stop,51.0494586,16.8346569
stop,51.0411386,16.7969665
stop,51.0328686,16.7841981
stop,51.0316885,16.7832111
stop,50.99955,15.6722008
stop,50.9735645,15.6750394
stop,51.0387323,13.7400064
stop,51.0453328,13.6782552
stop,50.1824507,18.6511275
